date,lower_trump,mean_trump,upper_trump,lower_biden,mean_biden,upper_biden
2020-03-25,150,230.58744,314,216,299.87784,380
2020-03-26,151,230.21792,313,217,300.37544,381
2020-03-27,153,232.7604,315,215,297.87792,378
2020-03-28,152,233.17304,316,215,297.32712,379
2020-03-29,169,238.95812,307,228,298.78816,370
2020-03-30,169,238.35468,307,228,299.3582,370
2020-03-31,169,238.43444,307,228,299.29676,370
2020-04-01,171,237.98224,305.0499999999993,232,299.73068,367
2020-04-02,171,238.92888,306,232,298.78772,366
2020-04-03,160,227.70996,296,240,307.68552,375
2020-04-04,171,238.30736,306,232,299.4158,367
2020-04-05,171,238.7114,306,231.95000000000005,299.00264,367
2020-04-06,168,235.84352,304,234,301.89144,370
2020-04-07,169,236.08316,303,235,301.62336,368
2020-04-08,168,235.84352,304,234,301.89144,370
2020-04-09,168,235.84352,304,234,301.89144,370
2020-04-10,168,235.84352,304,234,301.89144,370
2020-04-11,170,238.2858,306,232,299.27824,368
2020-04-12,161,227.17116,295,243,310.3802,377
2020-04-13,166,232.6542,299,238,304.68244,372
2020-04-14,168,232.62984,298,239,304.68228,369
2020-04-15,167,232.13472,299,238,305.2272,371
2020-04-16,166,232.72368,299,239,304.62144,371
2020-04-17,166,232.72368,299,239,304.62144,371
2020-04-18,170,237.65816,304.0499999999993,233,299.7998,367
2020-04-19,170,237.02432,304,233,300.4858,368
2020-04-20,168,235.42972,302,236,302.09916,370
2020-04-21,169,235.43004,302,235,302.079,368
2020-04-22,170,236.67088,303,234,300.77328,368
